Scientific name,Genus,Species,Latitude,Longitude,,,,,,
Cottus_carolinae,Cottus,carolinae,36.485,-85.50158,,,,,,
Cottus_carolinae,Cottus,carolinae,36.485,-85.5016,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2538,-85.50253,,,,,,
Cottus_carolinae,Cottus,carolinae,37.2538,-85.50253,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9931,-85.5089,,,,,,
Cottus_carolinae,Cottus,carolinae,34.9931,-85.5089,,,,,,
Cottus_carolinae,Cottus,carolinae,35.1106,-85.52672,,,,,,
Cottus_carolinae,Cottus,carolinae,35.111,-85.52672,,,,,,
Cottus_carolinae,Cottus,carolinae,36.7857,-85.5405,,,,,,
Cottus_carolinae,Cottus,carolinae,33.2256,-85.541,,,,,,
Cottus_carolinae,Cottus,carolinae,33.78833,-85.54694,,,,,,
Cottus_carolinae,Cottus,carolinae,33.78833,-85.54694,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4942,-85.55057,,,,,,
Cottus_carolinae,Cottus,carolinae,36.4942,-85.55057,,,,,,
Cottus_carolinae,Cottus,carolinae,33.77056,-85.55556,,,,,,
Cottus_carolinae,Cottus,carolinae,33.77056,-85.55556,,,,,,
Cottus_carolinae,Cottus,carolinae,34.65528,-85.56084,,,,,,
Cottus_carolinae,Cottus,carolinae,35.750668,-85.5647,,,,,,
Cottus_carolinae,Cottus,carolinae,35.75067,-85.5647,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3522,-85.5667,,,,,,
Cottus_carolinae,Cottus,carolinae,37.3522,-85.5667,,,,,,
Cottus_carolinae,Cottus,carolinae,33.75306,-85.57333,,,,,,
Cottus_carolinae,Cottus,carolinae,35.10528,-85.57694,,,,,,
Cottus_carolinae,Cottus,carolinae,35.70197,-85.57853,,,,,,
Cottus_carolinae,Cottus,carolinae,35.701965,-85.57853,,,,,,
Cottus_carolinae,Cottus,carolinae,34.63111,-85.57972,,,,,,
Cottus_carolinae,Cottus,carolinae,35.71007,-85.58107,,,,,,
Cottus_carolinae,Cottus,carolinae,35.710068,-85.58107,,,,,,
Cottus_carolinae,Cottus,carolinae,37.26583,-85.5825,,,,,,
Cottus_carolinae,Cottus,carolinae,35.73389,-85.59278,,,,,,
